participant_id,level_name,initial_match,game_batch,final_matchsum,final_matchcount
669eab5a87d8d,level_A,0,17,5,7
669eab5a87d8d,level_A,1,17,15,17
669eab5b58c3a,level_C,0,1,0,2
669eab5b58c3a,level_C,1,1,20,22
669eab5b60634,level_A,0,11,3,5
669eab5b60634,level_A,1,11,19,19
669eab7ce0fef,level_C,0,3,3,4
669eab7ce0fef,level_C,1,3,18,20
669eab823259f,level_B,0,17,0,12
669eab823259f,level_B,1,17,11,12
669eab942cfd1,level_B,0,3,3,7
669eab942cfd1,level_B,1,3,16,17
669eabaa2da79,level_B,0,1,4,9
669eabaa2da79,level_B,1,1,15,15
669eabbeca297,level_C,0,6,2,6
669eabbeca297,level_C,1,6,18,18
669eabc7b0009,level_B,0,9,1,7
669eabc7b0009,level_B,1,9,17,17
669eabe2d11f3,level_A,0,14,4,4
669eabe2d11f3,level_A,1,14,17,20
669eabf90348a,level_B,0,5,2,6
669eabf90348a,level_B,1,5,18,18
669eac14180ce,level_C,0,12,2,4
669eac14180ce,level_C,1,12,19,20
669eac18afecf,level_A,0,4,3,6
669eac18afecf,level_A,1,4,16,18
669eac19f0653,level_B,0,17,2,6
669eac19f0653,level_B,1,17,17,18
669eac240a485,level_C,0,17,2,6
669eac240a485,level_C,1,17,16,18
669eac2f4caba,level_A,0,19,3,5
669eac2f4caba,level_A,1,19,19,19
669eac37d95e9,level_C,0,13,2,3
669eac37d95e9,level_C,1,13,20,21
669eac3a95c3d,level_C,0,4,3,10
669eac3a95c3d,level_C,1,4,13,14
669eac4649253,level_A,0,9,3,4
669eac4649253,level_A,1,9,16,20
669eac5ab91d8,level_B,0,15,0,5
669eac5ab91d8,level_B,1,15,18,19
669eac81a4f22,level_B,0,13,1,8
669eac81a4f22,level_B,1,13,15,16
669eac83757d7,level_B,0,11,2,9
669eac83757d7,level_B,1,11,15,15
669eac8b46d83,level_C,0,10,1,2
669eac8b46d83,level_C,1,10,20,22
669eacb7722c8,level_B,0,5,0,6
